occurrence_year,division,homicide_type,occurrence_date,hood_id,day_of_week,season,homicide_count
2004,D53,Other,2004-01-03,97,Saturday,Winter,64
2004,D42,Shooting,2004-01-08,137,Thursday,Winter,64
2004,D42,Shooting,2004-01-08,132,Thursday,Winter,64
2004,D13,Shooting,2004-01-25,93,Sunday,Winter,64
2004,D42,Shooting,2004-01-25,131,Sunday,Winter,64
2004,D31,Stabbing,2004-02-20,26,Friday,Winter,64
2004,D31,Shooting,2004-02-21,26,Saturday,Winter,64
2004,D23,Other,2004-02-21,2,Saturday,Winter,64
2004,D42,Shooting,2004-03-03,132,Wednesday,Spring,64
2004,D41,Shooting,2004-03-04,120,Thursday,Spring,64
2004,D42,Shooting,2004-03-03,129,Wednesday,Spring,64
2004,D41,Stabbing,2004-03-13,137,Saturday,Spring,64
2004,D53,Other,2004-03-18,32,Thursday,Spring,64
2004,D42,Other,2004-03-24,137,Wednesday,Spring,64
2004,D51,Other,2004-04-01,73,Thursday,Spring,64
2004,D23,Shooting,2004-04-13,5,Tuesday,Spring,64
2004,D23,Shooting,2004-05-01,2,Saturday,Spring,64
2004,D54,Shooting,2004-03-03,58,Wednesday,Spring,64
2004,D31,Shooting,2004-05-15,24,Saturday,Spring,64
2004,D22,Stabbing,2004-05-19,20,Wednesday,Spring,64
2004,D51,Shooting,2004-05-21,72,Friday,Spring,64
2004,D23,Other,2004-05-21,3,Friday,Spring,64
2004,D13,Other,2004-05-20,31,Thursday,Spring,64
2004,D11,Other,2004-05-25,86,Tuesday,Spring,64
2004,D51,Other,2004-06-01,73,Tuesday,Summer,64
2004,D14,Shooting,2004-06-04,85,Friday,Summer,64
2004,D51,Stabbing,2004-06-18,73,Friday,Summer,64
2004,D31,Shooting,2004-06-19,23,Saturday,Summer,64
2004,D31,Shooting,2004-07-01,24,Thursday,Summer,64
2004,D41,Stabbing,2004-07-05,121,Monday,Summer,64
2004,D22,Stabbing,2004-07-07,16,Wednesday,Summer,64
2009,D51,Shooting,2009-08-04,17,Tuesday,Summer,62
2004,D31,Stabbing,2004-07-08,113,Thursday,Summer,64
2004,D32,Stabbing,2004-07-09,37,Friday,Summer,64
2004,D33,Shooting,2004-07-21,48,Wednesday,Summer,64
2004,D11,Other,2004-07-23,90,Friday,Summer,64
2004,D51,Shooting,2004-07-24,77,Saturday,Summer,64
2009,D41,Shooting,2009-08-05,124,Wednesday,Summer,62
2004,D11,Other,2004-08-05,93,Thursday,Summer,64
2009,D23,Shooting,2009-08-10,1,Monday,Summer,62
2004,D31,Stabbing,2004-08-18,113,Wednesday,Summer,64
2009,D23,Shooting,2009-08-16,2,Sunday,Summer,62
2004,D13,Stabbing,2004-08-19,108,Thursday,Summer,64
2009,D55,Shooting,2009-09-02,69,Wednesday,Fall,62
2004,D42,Shooting,2004-08-30,134,Monday,Summer,64
2009,D51,Shooting,2009-09-05,77,Saturday,Fall,62
2004,D51,Other,2004-08-30,75,Monday,Summer,64
2009,D33,Shooting,2009-09-07,49,Monday,Fall,62
2004,D31,Stabbing,2004-08-31,22,Tuesday,Summer,64
2004,D23,Shooting,2004-09-05,6,Sunday,Fall,64
2004,D23,Shooting,2004-09-21,1,Tuesday,Fall,64
2004,D11,Other,2004-09-22,27,Wednesday,Fall,64
2004,D55,Other,2004-10-08,70,Friday,Fall,64
2004,D31,Shooting,2004-10-15,28,Friday,Fall,64
2004,D53,Other,2004-10-27,99,Wednesday,Fall,64
2004,D13,Other,2004-11-12,92,Friday,Fall,64
2004,D14,Stabbing,2004-12-01,93,Wednesday,Winter,64
2004,D14,Stabbing,2004-12-01,93,Wednesday,Winter,64
2004,D42,Other,2004-12-02,133,Thursday,Winter,64
2004,D54,Stabbing,2004-12-03,58,Friday,Winter,64
2004,D11,Other,2004-10-21,87,Thursday,Fall,64
2004,D33,Stabbing,2004-12-11,40,Saturday,Winter,64
2004,D14,Stabbing,2004-12-11,78,Saturday,Winter,64
2004,D54,Stabbing,2004-12-12,54,Sunday,Winter,64
2004,D51,Shooting,2004-12-19,75,Sunday,Winter,64
2004,D41,Shooting,2004-12-19,124,Sunday,Winter,64
2004,D54,Shooting,2004-12-20,44,Monday,Winter,64
2004,D42,Stabbing,2004-12-31,123,Friday,Winter,64
2004,D42,Other,2004-07-12,132,Monday,Summer,64
